id,name,price,brand,category,Mouvement,Diamètre,Matériau,category_type,price_numeric,price_clean,type_produit
CBU2081.FT6274,"TAG HEUER CARRERA
CHRONOGRAPH EXTREME SPORT",CHF 8'000.00,TAG Heuer,FAM_WATCH,Automatique,44 mm,Titane et céramique,Montres homme,8000.0,8000.00,Montre classique
CBU2082.FT6275,"TAG HEUER CARRERA
CHRONOGRAPH EXTREME SPORT",CHF 8'000.00,TAG Heuer,FAM_WATCH,Automatique,44 mm,Titane,Montres homme,8000.0,8000.00,Montre classique
CBU2080.FT6272,"TAG HEUER CARRERA
CHRONOGRAPH EXTREME SPORT",CHF 8'200.00,TAG Heuer,FAM_WATCH,Automatique,44 mm,Titane DLC,Montres homme,8200.0,8200.00,Montre classique
CBU2050.FT6273,"TAG HEUER CARRERA
CHRONOGRAPH EXTREME SPORT",CHF 12'000.00,TAG Heuer,FAM_WATCH,Automatique,44 mm,Or et titane,Montres homme,12000.0,12000.00,Montre classique
CBN201K.FC6569,"TAG HEUER CARRERA
CHRONOGRAPH",CHF 6'150.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,6150.0,6150.00,Montre classique
CBS5013.EB0375,"TAG HEUER CARRERA
CHRONOGRAPH TOURBILLON",CHF 24'650.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,24650.0,24650.00,Montre classique
CBS2014.FT6293,"TAG HEUER CARRERA
CHRONOGRAPH SEAFARER X HODINKEE",CHF 7'750.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,7750.0,7750.00,Montre classique
CBS2213.FN6002,"TAG HEUER CARRERA
CHRONOGRAPH SKIPPER",CHF 6'600.00,TAG Heuer,FAM_WATCH,Automatique,39 mm,Acier,Montres homme,6600.0,6600.00,Montre classique
WBP5111.BA0013,"TAG HEUER AQUARACER
PROFESSIONAL 300 DATE",CHF 3'700.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,3700.0,3700.00,Montre classique
WBP5110.BA0013,"TAG HEUER AQUARACER
PROFESSIONAL 300 DATE",CHF 3'700.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,3700.0,3700.00,Montre classique
WBP5116.BA0013,"TAG HEUER AQUARACER
PROFESSIONAL 300 DATE",CHF 3'700.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,3700.0,3700.00,Montre classique
WBP5111.FT6259,"TAG HEUER AQUARACER
PROFESSIONAL 300 DATE",CHF 3'500.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,3500.0,3500.00,Montre classique
WBP5110.FT6257,"TAG HEUER AQUARACER
PROFESSIONAL 300 DATE",CHF 3'500.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,3500.0,3500.00,Montre classique
WBP5114.BA0013,"TAG HEUER AQUARACER
PROFESSIONAL 300 GMT",CHF 4'100.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,4100.0,4100.00,Montre classique
WBP5115.BA0013,"TAG HEUER AQUARACER
PROFESSIONAL 300 GMT",CHF 4'100.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,4100.0,4100.00,Montre classique
WBP5114.FT6259,"TAG HEUER AQUARACER
PROFESSIONAL 300 GMT",CHF 3'900.00,TAG Heuer,FAM_WATCH,Automatique,42 mm,Acier,Montres homme,3900.0,3900.00,Montre classique
WBP1113.BA0000,"TAG HEUER AQUARACER
PROFESSIONAL 200 SOLARGRAPH",CHF 2'300.00,TAG Heuer,FAM_WATCH,Solaire,40 mm,Acier,Montres homme,2300.0,2300.00,Montre classique
WBP1114.BA0000,"TAG HEUER AQUARACER
PROFESSIONAL 200 SOLARGRAPH",CHF 2'300.00,TAG Heuer,FAM_WATCH,Solaire,40 mm,Acier,Montres homme,2300.0,2300.00,Montre classique
WBP1115.BA0000,"TAG HEUER AQUARACER
PROFESSIONAL 200 SOLARGRAPH",CHF 2'300.00,TAG Heuer,FAM_WATCH,Solaire,40 mm,Acier,Montres homme,2300.0,2300.00,Montre classique
WBP1180.BF0000,"TAG HEUER AQUARACER
PROFESSIONAL 200 SOLARGRAPH",CHF 3'000.00,TAG Heuer,FAM_WATCH,Solaire,40 mm,Titane,Montres homme,3000.0,3000.00,Montre classique
